stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
20ub_15_2_12july,20UB,15,r,12,1,July,2018,2,5,0,0,0,0,9/17/2018,AR,
20ub_15_3_12july,20UB,15,r,12,1,July,2018,3,11,4,0,0,0,9/17/2018,AR,reheated; stigma tip torn but pollen in immediate area was all present initially
20ub_16_1_12july,20UB,16,l,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
20ub_16_2_12july,20UB,16,l,12,1,July,2018,2,0,1,0,0,0,9/17/2018,AR,
20ub_16_1_12july,20UB,16,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
20ub_16_2_12july,20UB,16,r,12,1,July,2018,2,0,0,0,0,0,9/17/2018,AR,
20ub_16_3_12july,20UB,16,r,12,1,July,2018,3,0,1,0,0,0,9/17/2018,AR,
20ub_17_1_12july,20UB,17,l,12,1,July,2018,1,1,0,0,0,0,9/17/2018,AR,
20ub_17_2_12july,20UB,17,l,12,1,July,2018,2,0,0,0,0,0,9/17/2018,AR,tip yellow; pollinated but pollen became dislodged?
20ub_17_3_12july,20UB,17,l,12,1,July,2018,3,4,0,0,0,0,9/17/2018,AR,tip smashed against style; lots of dalpur pollen nearby likely indicating this underestiamtes quantity deposited
29ub_17_1_12july,29UB,17,r,12,1,July,2018,1,0,0,1,0,0,9/17/2018,AR,
29ub_18_1_12july,29UB,18,l,12,1,July,2018,1,NA,NA,NA,NA,NA,9/17/2018,AR,no tip; whole ovule pulled
29ub_18_2_12july,29UB,18,l,12,1,July,2018,2,0,0,0,0,0,9/17/2018,AR,
29ub_18_1_12july,29UB,18,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
29ub_18_2_12july,29UB,18,r,12,1,July,2018,2,NA,NA,NA,NA,NA,9/17/2018,AR,stigma appears damaged from squashing; EDIT 10/26: decided to change to NA because stigma structure is not readily apparent and I will be unable to provide --AR
29ub_18_3_12july,29UB,18,r,12,1,July,2018,3,NA,NA,NA,NA,NA,9/17/2018,AR,tip missing
23ub_19_1_12july,23UB,19,l,12,1,July,2018,1,3,0,0,0,0,9/17/2018,AR,
23ub_19_2_12july,23UB,19,l,12,1,July,2018,2,1,0,0,0,0,9/17/2018,AR,
23ub_19_3_12july,23UB,19,l,12,1,July,2018,3,0,0,0,0,0,9/17/2018,AR,
23ub_19_1_12july,23UB,19,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
23ub_19_2_12july,23UB,19,r,12,1,July,2018,2,1,0,0,0,0,9/17/2018,AR,torn stigma tip with a few dalpur pollen grains nearby; EDIT 10/26: recount with AK;  because of lots of surrounding pollen changes count to 1 dalpur instead of 2 because can't say if it was definitely on the stigma originally--AR
23ub_19_3_12july,23UB,19,r,12,1,July,2018,3,7,0,2,0,0,9/17/2018,AR,~10 nearby dalpur pollen grains
23ub_20_1_12july,23UB,20,l,12,1,July,2018,1,NA,NA,NA,NA,NA,9/17/2018,AR,tip torn off; lobes missing
23ub_20_2_12july,23UB,20,l,12,1,July,2018,2,NA,NA,NA,NA,NA,9/17/2018,AR,tip torn off; lobes missing
23ub_20_1_12july,23UB,20,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
23ub_20_2_12july,23UB,20,r,12,1,July,2018,2,4,3,0,0,0,9/17/2018,AR,
23ub_20_3_12july,23UB,20,r,12,1,July,2018,3,0,0,0,0,0,9/17/2018,AR,slight yellowing but no pollen
23ub_21_1_12july,23UB,21,l,12,1,July,2018,1,NA,NA,NA,NA,NA,9/17/2018,AR,tip torn off; lobes missing
23ub_21_1_12july,23UB,21,r,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
23ub_21_2_12july,23UB,21,r,12,1,July,2018,2,3,0,0,0,0,9/17/2018,AR,
19ub_22_1_12july,19UB,22,l,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
19ub_22_2_12july,19UB,22,l,12,1,July,2018,2,0,0,0,0,0,9/17/2018,AR,
19ub_22_3_12july,19UB,22,l,12,1,July,2018,3,0,0,0,0,0,9/17/2018,AR,
