plantID,round,year,month,day,#bloom_flwheads,head1,head1_RF,head2,head2_RF,head3,head3_RF,head4,head4_RF,head5,head5_RF,#pre_flwheads,#post_flwheads,#stems,#stigma,observer,entered by,Column 18
24UB,6,2018,July,30,2,12,R,2,F,0,0,0,0,0,0,2,2,6,2,"MR, TE",ED,
39UB,6,2018,July,30,1,7,F,0,0,0,0,0,0,0,0,0,0,1,0,"MR, TE",ED,couldn't find day old stigma
22UB,6,2018,July,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"MR, TE",ED,
29UB,6,2018,July,30,1,4,F,0,0,0,0,0,0,0,0,0,10,5,1,"MR, TE",ED,
26UB,6,2018,July,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"MR, TE",ED,
25UB,6,2018,July,30,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,"MR, TE",ED,
41UB,6,2018,July,30,2,12,R,12,R,0,0,0,0,0,0,0,2,2,6,"MR, TE",ED,
27UB,6,2018,July,30,5,12,R,12,R,12,R,12,R,6,R,0,0,3,5,"MR, TE",ED,
40UB,6,2018,July,30,2,12,R,12,R,0,0,0,0,0,0,0,0,2,2,"MR, TE",ED,
38UB,6,2018,July,30,1,18,R,0,0,0,0,0,0,0,0,0,2,2,1,"MR, TE",ED,
5UB,4,2018,July,23,2,12,R,12,R,0,0,0,0,0,0,0,0,2,2,"AR, GP",AK,
7UB,4,2018,July,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,"AR, GP",AK,
8UB,4,2018,July,23,1,12,R,0,0,0,0,0,0,0,0,0,0,1,1,"AR, GP",AK,
9UB,4,2018,July,23,2,3,F,24,R,0,0,0,0,0,0,0,0,1,3,"AR, GP",AK,
1B,4,2018,July,23,3,2,F,12,R,2,F,0,0,0,0,0,1,3,3,"AR, GP",AK,
2B,4,2018,July,23,3,8,F,12,R,3,F,0,0,0,0,0,0,3,3,"AR, GP",AK,
6B,4,2018,July,23,10,12,R,12,R,24,R,24,R,24,R,7,0,6,8,"AR, GP",AK,
10B,4,2018,July,23,10,24,R,12,R,12,R,24,R,24,R,1,0,2,8,"AR, GP",AK,
4B,4,2018,July,23,3,12,R,12,R,24,R,0,0,0,0,3,0,2,4,"AR, GP",AK,
31B,4,2018,July,23,1,1,F,0,0,0,0,0,0,0,0,0,0,1,1,"AR, GP",AK,
7B,4,2018,July,23,2,3,F,3,F,0,0,0,0,0,0,0,0,2,2,"AR, GP",AK,
8B,4,2018,July,23,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"AR, GP",AK,
9UB,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,0,NA,NA,2,AR,AR,Stem and post flowering variable not included in datasheets at and before the July 16-17-18 sampling period; NOTE: Began entering unentered data sheets; these datasheets were in an older formatting and so AR entered because interpretability was going to be an issue.
8UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,AR,AR,
7UB,2,2018,July,16,2,12,R,12,R,0,0,0,0,0,0,1,NA,NA,4,AR,AR,
5UB,2,2018,July,16,2,24,R,18,R,0,0,0,0,0,0,0,NA,NA,4,AR,AR,
6UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,0,AR,AR,
4UB,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,4,NA,NA,2,AR,AR,
3UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,AR,AR,
2UB,2,2018,July,16,6,24,R,24,R,24,R,24,R,24,R,2,NA,NA,12,AR,AR,
10UB,2,2018,July,16,2,3,F,6,F,0,0,0,0,0,0,3,NA,NA,2,AR,AR,
1UB,2,2018,July,16,4,36,R,24,R,3,F,3,F,0,0,13,NA,NA,7,AR,AR,
1B,2,2018,July,16,3,24,R,24,R,24,R,0,0,0,0,1,NA,NA,6,AR,AR,
10B,2,2018,July,16,2,36,R,24,R,0,0,0,0,0,0,9,NA,NA,3,AR,AR,
6B,2,2018,July,16,3,36,R,36,R,24,R,0,0,0,0,14,NA,NA,2,AR,AR,Figure out if only 1 stigma collected
4B,2,2018,July,16,2,36,R,24,R,0,0,0,0,0,0,3,NA,NA,6,AR,AR,
2B,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,1,NA,NA,2,AR,AR,
7B,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,0,1,NA,2,AR,AR,Note on datasheet indicates one of the two stems had finished blooming
8B,2,2018,July,16,2,36,R,36,R,0,0,0,0,0,0,0,NA,NA,6,AR,AR,
3B,2,2018,July,16,0,,,0,0,0,0,0,0,0,0,5,NA,NA,0,AR,AR,
9B,2,2018,July,16,9,24,R,24,R,36,R,24,R,24,R,4,NA,NA,14,AR,AR,
5B,2,2018,July,16,3,24,R,24,R,36,R,0,0,0,0,1,NA,NA,8,AR,AR,
12B,2,2018,July,16,7,24,R,24,R,36,R,36,R,12,R,11,NA,NA,10,AR,AR,
