"plantID","treatment","n_focal_obs","max_flowering_heads","mean_flowering_heads","mean_daily_flowers","mean_date_flw","mean_date_heads","id","start","end","duration","firstDay","lastDay","pop","syn_aug","syn_o","syn_aug_sp","syn_o_sp","added"
"40B","B",4,5,2.75,22.75,210,211,"40B",17,22,6,2018-07-27,2018-08-01,"pop3",0.578014184397163,0.343726194539711,0.655555555555556,0.374920634920635,"added"
"40UB","UB",4,2,1.25,11,212,211,"40UB",17,22,6,2018-07-27,2018-08-01,"pop6",0.471014492753623,0.280701608706724,0.595238095238095,0.270850158245116,"added"
"41B","B",5,13,6.4,78.16,212,212,"41B",17,31,15,2018-07-27,2018-08-10,"pop3",0.265248226950355,0.221264435572856,0.262222222222222,0.205960735171261,"added"
"41UB","UB",4,2,2,31.25,211,212,"41UB",17,27,11,2018-07-27,2018-08-06,"pop6",0.286561264822134,0.210922524477512,0.38961038961039,0.264526214526214,"added"
"42B","B",4,1,0.75,4.75,210,211,"42B",17,22,6,2018-07-27,2018-08-01,"pop3",0.578014184397163,0.343726194539711,0.655555555555556,0.374920634920635,"added"
"43B","B",4,2,1.25,9.75,213,213,"43B",17,27,11,2018-07-27,2018-08-06,"pop2",0.353965183752418,0.269710875968698,0.321212121212121,0.239556347791642,"added"
"43UB","UB",4,2,1.25,12.75,210,211,"43UB",17,22,6,2018-07-27,2018-08-01,"pop5",0.471014492753623,0.280701608706724,0.444444444444444,0.28961038961039,"added"
"44B","B",4,1,0.5,6,212,212,"44B",20,22,3,2018-07-30,2018-08-01,"pop2",0.581560283687943,0.182947976095661,0.6,0.175942195059842,"added"
"44UB","UB",4,1,0.5,2.5,209,210,"44UB",17,22,6,2018-07-27,2018-08-01,"pop5",0.471014492753623,0.280701608706724,0.444444444444444,0.28961038961039,"added"
"45B","B",4,1,0.75,4.25,211,211,"45B",17,22,6,2018-07-27,2018-08-01,"pop2",0.578014184397163,0.343726194539711,0.533333333333333,0.286732874968169,"added"
"45UB","UB",4,11,7,96.15,211,211,"45UB",17,22,6,2018-07-27,2018-08-01,"pop5",0.471014492753623,0.280701608706724,0.444444444444444,0.28961038961039,"added"
"46B","B",5,2,1.4,11,215,216,"46B",17,31,15,2018-07-27,2018-08-10,"pop1",0.265248226950355,0.221264435572856,0.217777777777778,0.186168626694942,"added"
"46UB","UB",4,1,0.25,6,208,208,"46UB",17,17,1,2018-07-27,2018-07-27,"pop4",0.521739130434783,0.0527468694987877,0.4,0.0395238095238095,"added"
"47B","B",4,1,0.5,6.5,213,210,"47B",17,22,6,2018-07-27,2018-08-01,"pop1",0.578014184397163,0.343726194539711,0.488888888888889,0.282021899668958,"added"
"47UB","UB",4,1,0.75,6.5,210,211,"47UB",17,22,6,2018-07-27,2018-08-01,"pop4",0.471014492753623,0.280701608706724,0.311111111111111,0.185081062728122,"added"
"48B","B",4,2,1.25,9.5,212,213,"48B",17,27,11,2018-07-27,2018-08-06,"pop1",0.353965183752418,0.269710875968698,0.296969696969697,0.226357694592989,"added"
"48UB","UB",4,1,0.5,1,212,212,"48UB",20,22,3,2018-07-30,2018-08-01,"pop4",0.434782608695652,0.135346431062544,0.266666666666667,0.0927782021899669,"added"
"4B","B",10,6,1.6,32.34,204,204,"4B",6,20,15,2018-07-16,2018-07-30,"pop1",0.504964539007092,0.446907203197961,0.511111111111111,0.463364894479446,"original"
"4UB","UB",10,3,0.9,13.1,201,202,"4UB",6,16,11,2018-07-16,2018-07-26,"pop4",0.480237154150198,0.352924223048903,0.460606060606061,0.355946226975639,"original"
"5B","B",10,5,1.7,25.4,200,201,"5B",6,13,8,2018-07-16,2018-07-23,"pop1",0.457446808510638,0.294977623544582,0.55,0.40194890077243,"original"
"5UB","UB",10,2,1.3,18.6,198,201,"5UB",1,20,20,2018-07-11,2018-07-30,"pop4",0.441304347826087,0.420992534036012,0.376666666666667,0.371212121212121,"original"
"6B","B",10,17,5.6,109.2,205,206,"6B",6,20,15,2018-07-16,2018-07-30,"pop1",0.504964539007092,0.446907203197961,0.511111111111111,0.463364894479446,"original"
"6UB","UB",10,2,0.6,8,203,204,"6UB",11,16,6,2018-07-21,2018-07-26,"pop4",0.528985507246377,0.250397194450903,0.544444444444444,0.295808080808081,"original"
"7B","B",10,2,0.7,8.8,199,201,"7B",6,13,8,2018-07-16,2018-07-23,"pop1",0.457446808510638,0.294977623544582,0.55,0.40194890077243,"original"
"7UB","UB",10,3,0.9,13.8,194,196,"7UB",1,8,8,2018-07-11,2018-07-18,"pop4",0.353260869565217,0.218890057205275,0.266666666666667,0.146666666666667,"original"
"8B","B",10,2,0.7,11.6,198,198,"8B",2,11,10,2018-07-12,2018-07-21,"pop1",0.293617021276596,0.191472758298066,0.353333333333333,0.246946532999165,"original"
"8UB","UB",10,1,0.4,4.8,202,203,"8UB",8,16,9,2018-07-18,2018-07-26,"pop4",0.492753623188406,0.318467753474147,0.481481481481481,0.332138047138047,"original"
"9B","B",10,14,5.8,99.16,200,201,"9B",1,16,16,2018-07-11,2018-07-26,"pop1",0.356382978723404,0.312113152804642,0.3625,0.330530303030303,"original"
"9UB","UB",10,2,0.8,10.8,201,203,"9UB",6,20,15,2018-07-16,2018-07-30,"pop4",0.488405797101449,0.414031212651485,0.435555555555556,0.39281045751634,"original"
